Rank,Title,Studio,Release Date,Opening Box Office,Opening Theaters,Genre,Runtime,Rating,Lifetime Gross
125,Night at the Museum,Fox,22-Dec-06,30433781,"3,768",Family Adventure,1 hrs. 48 min.,PG,"$250,863,268 "
522,Cloudy with a Chance of Meatballs,Sony / Columbia,18-Sep-09,30304648,"3,119",Animation,1 hrs. 21 min.,PG,"$124,870,275 "
445,The Godfather,Paramount,15-Mar-72,302393,#VALUE!,Crime Drama,2 hrs. 55 min.,R,"$134,966,411 "
321,Django Unchained,Weinstein Company,25-Dec-12,30122888,"3,012",Western,2 hrs. 45 min.,R,"$162,805,434 "
314,Catch Me If You Can,DreamWorks,25-Dec-02,30053627,"3,225",Comedy / Drama,2 hrs. 20 min.,PG-13,"$164,615,351 "
430,A Christmas Carol (2009),Buena Vista,6-Nov-09,30051075,"3,683",Animation,1 hrs. 36 min.,PG,"$137,855,863 "
344,What Lies Beneath,DreamWorks,21-Jul-00,29702959,"2,925",Horror,2 hrs. 10 min.,PG-13,"$155,464,351 "
471,The Flintstones,Universal,27-May-94,29688730,"2,594",Family Comedy,1 hrs. 31 min.,PG,"$130,531,208 "
217,Indiana Jones and the Last Crusade,Paramount,24-May-89,29355021,"2,327",Period Adventure,2 hrs. 7 min.,PG-13,"$197,171,806 "
223,Toy Story,Buena Vista,22-Nov-95,29140617,"2,574",Animation,1 hrs. 21 min.,G,"$191,796,233 "
396,Doctor Dolittle,Fox,26-Jun-98,29014324,"2,871",Family Comedy,1 hrs. 25 min.,PG-13,"$144,156,605 "
422,The Santa Clause 2,Buena Vista,1-Nov-02,29008696,"3,352",Family Comedy,1 hrs. 45 min.,G,"$139,236,327 "
148,Cast Away,Fox,22-Dec-00,28883406,"3,061",Drama,2 hrs. 23 min.,PG-13,"$233,632,142 "
6,Titanic,Paramount,19-Dec-97,28638131,"3,265",Romance,3 hrs. 14 min.,PG-13,"$659,363,944 "
308,Meet the Parents,Universal,6-Oct-00,28623300,"2,697",Comedy,1 hrs. 48 min.,PG-13,"$166,244,045 "
511,Erin Brockovich,Universal,17-Mar-00,28138465,"3,070",Drama,2 hrs. 10 min.,R,"$125,595,205 "
291,The Matrix,Warner Bros.,31-Mar-99,27788331,"2,903",Sci-Fi Action,2 hrs. 16 min.,R,"$171,479,930 "
395,Mamma Mia!,Universal,18-Jul-08,27751240,"3,194",Musical,1 hrs. 48 min.,PG-13,"$144,169,664 "
424,Cheaper by the Dozen,Fox,25-Dec-03,27557647,"3,307",Family Comedy,1 hrs. 38 min.,PG,"$138,614,544 "
460,Wonder,Lionsgate,17-Nov-17,27547866,"3,519",Drama,1 hrs. 53 min.,PG,"$132,422,809 "
523,The Devil Wears Prada,Fox,30-Jun-06,27537244,"2,882",Comedy,1 hrs. 46 min.,PG-13,"$124,740,460 "
372,Les Miserables (2012),Universal,25-Dec-12,27281735,"2,927",Musical,2 hrs. 37 min.,PG-13,"$148,809,770 "
